Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
A|210734|18|1281211|B,Q,N
AA|919565|3435|2250196|B,Q,N
AAA|1023|0|14165|Q,N
AAAU|351408|946|973780|B,Q,N
AACG|3363|0|6188|B,Q,N
AACT|2916|0|7153|Q
AACT/U|900|0|900|Q
AACT/WS|1514|0|1514|Q
AADI|22703|100|86097|B,Q,N
AADR|412|0|475|Q
AAL|4484553|48156|9485305|B,Q,N
AAM|5313|0|107533|Q
AAME|3|0|2303|Q
AAOI|911711|5218|2302929|B,Q,N
AAON|90934|28|184676|B,Q,N
AAP|344716|65|577108|B,Q,N
AAPB|10039|4|40566|Q,N
AAPD|64760|14|249451|B,Q,N
AAPL|5000599|55968|14432557|B,Q,N
AAPR|1|0|420|Q
AAPU|146338|1222|289300|B,Q,N
AAPX|1658|0|3008|Q,N
AAPY|71|0|152|Q,N
AAT|19141|0|37296|Q,N
AAXJ|94473|0|108160|Q,N
AB|36508|551|144325|B,Q,N
ABAT|79378|2717|235627|Q,N
ABBV|543719|2333|1681671|B,Q,N
ABCB|71597|500|123751|Q,N
ABCL|416587|29|1244435|B,Q,N
ABCS|1|0|605|Q
ABEO|15171|949|73183|Q,N
ABEQ|740|0|2497|Q
ABEV|8338712|302780|12817845|B,Q,N
ABG|37175|0|57411|Q,N
ABL|18351|0|21069|Q,N
ABLLL|1710|0|1715|Q
ABLLW|109|0|11095|Q
ABLV|600|0|2463|Q
ABM|60137|59|106871|Q,N
ABNB|1878968|2804|3332207|B,Q,N
ABNY|6568|0|8622|Q,N
ABOS|31752|37|70172|Q,N
ABR|511629|840|754687|B,Q,N
ABRpD|1615|0|7072|Q
ABRpE|1077|0|1277|Q
ABRpF|934|0|4158|Q
ABSI|243993|0|399982|B,Q,N
ABT|739603|10590|1820948|B,Q,N
ABTS|3081|0|10914|Q,N
ABUS|206005|0|328430|Q,N
ABVC|28049|0|46699|B,Q,N
ABVE|4489|0|12026|B,Q
ABVEW|212|20|15425|Q
ABVX|5165|0|10903|Q,N
AC|156|0|311|Q,N
ACA|54020|0|77866|Q,N
ACAB|100|0|360|Q
ACAD|413217|7305|1264424|B,Q,N
ACB|377426|22143|654729|B,Q,N
ACCD|54084|154|528959|Q,N
ACCO|156679|236|374093|Q,N
ACDC|204847|0|322247|Q,N
ACEL|9756|0|79519|Q,N
ACES|12548|149|51143|Q,N
ACET|49839|2240|211960|Q,N
ACGL|336182|10|646576|B,Q,N
ACGLN|3608|292|13629|Q,N
ACGLO|3159|13|6730|Q
ACHC|160990|67|475391|B,Q,N
ACHL|14303|32|43307|B,Q,N
ACHR|7583712|173022|16221653|B,Q,N
ACHR/WS|31367|0|101142|Q
ACHV|20254|94|33545|Q,N
ACI|632294|2029|2047747|B,Q,N
ACIC|23580|1169|66131|Q,N
ACIO|166362|0|191901|Q,N
ACIU|21772|0|36408|Q,N
ACIW|93874|197|341943|B,Q,N
ACLS|311057|512|550808|B,Q,N
ACLX|145400|0|246645|B,Q,N
ACM|220164|0|438807|B,Q,N
ACMR|328325|10962|1142684|B,Q,N
ACN|435201|424|928307|B,Q,N
ACNB|2103|0|11039|Q,N
ACNT|8770|430|20727|Q
ACON|159529|0|504177|Q,N
ACP|131237|0|385982|Q,N
ACR|5906|0|8530|Q,N
ACRE|175440|2481|498484|B,Q,N
ACRpC|5303|0|8940|Q
ACRpD|919|0|1141|Q
ACRS|195270|562|521896|B,Q,N
ACRV|17508|178|26471|B,Q,N
ACT|29722|0|106567|Q,N
ACTG|16594|0|61866|Q,N
ACTU|19669|2649|32443|Q
ACTV|2467|0|16190|Q
ACU|3198|0|6513|Q,N
ACV|18498|0|31593|Q
ACVA|372958|0|1031261|Q,N
ACVF|3832|0|5232|Q,N
ACWI|214047|251|326539|B,Q,N
ACWV|23833|0|60182|Q,N
ACWX|215551|1688|336942|Q,N
ACXP|2129|0|7187|Q,N
ADAG|3306|305|6385|Q,N
ADAP|178981|661|451324|Q,N
ADBE|331477|2052|1065126|B,Q,N
ADC|119128|78|339225|B,Q,N
ADCpA|812|0|2331|Q
ADCT|111779|2741|218146|Q,N
