Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
BALY|18023|0|93524|Q,N
BAM|712028|1001|1325245|B,Q,N
BAMA|28|0|2489|Q
BAMB|13855|0|16624|Q
BAMD|4472|0|8163|Q
BAMG|3042|0|5530|Q
BAMO|1407|0|2978|Q
BAMU|3873|0|8886|Q
BAMV|2701|0|5451|Q
BAMY|569|0|2739|Q
BANC|237466|634|556250|Q,N
BANCpF|1704|0|12392|Q,N
BAND|42711|52|140030|B,Q,N
BANF|5762|0|13131|Q,N
BANFP|10|0|552|Q
BANL|2696|0|15684|Q
BANR|36790|59|51618|B,Q,N
BANX|14105|0|33302|Q,N
BAOS|3121|0|8083|Q,N
BAP|23937|5648|57386|Q,N
BAPR|129|0|74709|Q
BAR|168411|0|278212|B,Q,N
BARK|66718|480|101154|B,Q,N
BASE|31413|0|84679|Q,N
BATL|1167|0|1959|Q,N
BATRA|1631|0|4820|Q,N
BATRK|33842|0|47298|Q,N
BATT|7262|0|18195|Q
BAUG|649|0|1963|Q
BAX|635743|24792|920433|B,Q,N
BAYA|25|0|27|Q
BB|2066957|18138|4548848|B,Q,N
BBAG|21075|0|38186|Q,N
BBAI|1024976|38646|1678760|B,Q,N
BBAI/WS|2658|0|4766|Q
BBAR|152423|171|329107|B,Q,N
BBAX|15731|0|77461|Q
BBBI|20|0|20|Q
BBBL|14|0|28|Q
BBBS|1032|0|10070|Q
BBC|137|0|443|Q
BBCA|46429|0|76930|Q,N
BBCB|395|0|15675|Q
BBCP|4971|0|24118|Q,N
BBD|2890904|46|5004128|B,Q,N
BBDC|86255|295|176350|B,Q,N
BBDO|2185|0|31596|Q,N
BBEM|48|0|54|Q,N
BBEU|31723|0|57693|Q,N
BBGI|211|0|1392|Q
BBH|29|0|1047|Q
BBHY|43860|0|78188|Q,N
BBIB|11|0|11|Q
BBIN|14626|0|30675|Q
BBIO|171279|129|384276|B,Q,N
BBJP|74261|12|224578|B,Q,N
BBLB|6|0|37|Q
BBLG|13034|107|37042|Q,N
BBLU|12228|17|29638|Q,N
BBMC|209|0|1360|Q
BBN|134365|1150|236815|Q,N
BBP|403|0|740|Q
BBRE|1985|0|3557|Q
BBSB|51|0|52|Q
BBSC|1854|0|2004|Q
BBSI|11876|0|20658|Q,N
BBU|2293|0|3664|Q,N
BBUC|2633|161|3629|Q,N
BBUS|35032|0|47313|Q,N
BBVA|171205|50|412622|B,Q,N
BBW|24585|0|61435|Q,N
BBWI|1036710|7225|3315875|B,Q,N
BBY|654868|2|948985|B,Q,N
BC|61971|0|101695|B,Q,N
BCAB|180765|16057|374508|Q,N
BCAL|4123|0|96426|Q,N
BCAN|223|175|499|Q,N
BCAT|61425|367|200967|B,Q,N
BCAX|125601|5|190697|Q,N
BCBP|2763|0|7041|Q,N
BCC|21348|0|73069|Q,N
BCD|11647|0|21414|Q,N
BCDA|6265|0|15489|Q,N
BCDF|96|0|97|Q
BCE|2105782|31236|3121295|B,Q,N
BCG|4519|0|8259|B,Q,N
BCH|20776|0|41251|B,Q,N
BCHP|172|0|1370|Q
BCI|25366|470|60292|Q
BCIL|364|0|610|Q
BCIM|11|0|128|Q
BCLI|20334|753|31674|B,Q,N
BCML|2392|0|9554|Q
BCO|23299|215|39119|B,Q,N
BCOV|14308|154|24137|Q,N
BCOW|95|0|167|Q
BCpA|534|0|3769|Q,N
BCpB|900|0|1871|Q
BCpC|458|0|3627|Q
BCPC|14160|0|25663|Q,N
BCRX|2819883|172996|5772172|B,Q,N
BCS|2884096|13922|5548285|B,Q,N
BCSA|1|0|1426|Q
BCSAU|2|0|5|Q
BCSAW|21128|1100|51021|Q,N
BCSF|45528|0|93682|B,Q,N
BCTX|135149|396|238942|Q,N
BCTXW|14547|0|49338|Q
BCV|4834|100|5605|Q
BCX|31533|0|92064|Q,N
BCYC|58253|1703|128197|B,Q,N
BDC|38219|0|50116|Q,N
BDCX|240|0|1340|Q,N
BDCZ|221|0|792|Q
BDEC|3221|0|3873|Q
BDIV|10|0|11|Q
BDJ|65495|0|125784|Q,N
BDL|257|0|273|Q,N
BDMD|48557|0|93016|Q,N
BDN|495154|2325|1498466|Q,N
BDRX|1738|20|4647|Q,N
BDRY|14733|0|23605|Q
BDSX|104646|6263|270700|B,Q,N
BDTX|128045|3666|188550|Q,N
BDVG|1597|0|1748|Q,N
BDX|248521|0|684389|B,Q,N
BE|2295024|36584|4496136|B,Q,N
BEAGU|2018|0|14338|Q
BEAM|335157|120|524141|B,Q,N
BEAT|10212|0|30520|Q,N
BECN|73500|21|119564|B,Q,N
BEDU|1120|0|1659|Q,N
BEEM|10009|0|75485|Q,N
BEEP|25805|0|61139|Q,N
BEEZ|61|0|109|Q
BEKE|810705|3422|2634651|B,Q,N
BELFA|1730|0|3589|Q,N
BELFB|13648|7|26335|Q,N
BELT|217|0|393|Q
BEMB|97|0|344|Q
BEN|3780432|2000|5223019|B,Q,N
BENF|22882|0|39822|B,Q,N
BEP|71828|229|195181|Q,N
BEPC|173420|1|237912|B,Q,N
BEPH|855|0|3245|Q
BEPI|1023|24|4220|Q
BEPJ|3136|0|6647|Q
BEPpA|681|0|2307|Q
BERY|182228|207|517649|B,Q,N
BERZ|22434|108|46039|Q,N
BEST|3471|0|5186|Q
BETE|529|0|633|Q,N
BETH|771|0|1057|Q
BETR|10277|60|13499|Q,N
BETZ|228|0|13094|Q,N
BF/A|21862|0|43714|B,Q,N
BFAM|74348|0|243711|B,Q,N
BF/B|351333|526|828887|B,Q,N
BFC|1769|0|5939|B,Q,N
BFEB|1441|0|2779|Q
BFH|67951|0|143746|B,Q,N
BFIN|2960|0|4661|B,Q
BFIX|1230|0|2464|Q
BFK|33869|0|85648|Q,N
BFLY|523078|23227|1570618|B,Q,N
BFLY/WS|1480|0|3780|Q
BFOR|159|0|2428|Q,N
BFRG|8484|0|23869|Q,N
BFRGW|4270|600|4770|Q
BFRI|181223|14436|449296|Q,N
BFRIW|521|513|3108|Q
