Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
A|337621|611|1112100|B,Q,N
AA|2203914|2421|3943321|B,Q,N
AAA|1009|0|8454|Q
AAAU|940588|1762|2030669|B,Q,N
AACG|21328|1875|29159|Q,N
AACT|2102|0|370667|Q
AACT/U|4470|0|4570|Q
AADI|29977|1835|120378|B,Q,N
AADR|115|0|1647|Q
AAL|6392203|134976|14611425|B,Q,N
AAM|16200|0|17200|Q
AAME|1982|0|8333|Q,N
AAOI|603183|1395|1711987|B,Q,N
AAON|55761|0|229242|B,Q,N
AAP|427638|764|723239|B,Q,N
AAPB|13709|29|52079|B,Q,N
AAPD|57240|42|277978|B,Q,N
AAPL|5162030|84353|18374522|B,Q,N
AAPR|100|0|3317|Q
AAPU|130656|425|262191|B,Q,N
AAPX|2224|0|4130|Q,N
AAPY|2645|0|2697|Q
AAT|42697|200|110696|Q,N
AAXJ|186891|7|1210677|Q,N
AB|100064|127|314543|Q,N
ABAT|106965|692|213076|Q,N
ABBV|487115|1782|2964749|B,Q,N
ABCB|92100|24|253557|B,Q,N
ABCL|210767|11318|792753|Q,N
ABCS|202|0|1804|Q,N
ABEO|24380|413|86436|Q,N
ABEQ|3|0|2556|Q
ABEV|6483083|61721|10332444|B,Q,N
ABG|74786|1|131112|B,Q,N
ABL|8949|0|20204|B,Q,N
ABLLW|800|0|2120|Q
ABLV|1037|0|4442|Q
ABM|61950|1|112809|Q,N
ABNB|667253|4153|1948666|B,Q,N
ABNY|6043|0|8426|Q,N
ABOS|87318|1982|152588|B,Q,N
ABR|686987|944|1038024|B,Q,N
ABRpD|758|0|14345|Q
ABRpE|225|0|549|Q,N
ABRpF|5385|0|12611|Q
ABSI|216656|0|762910|Q,N
ABT|739294|1807|1741856|B,Q,N
ABTS|14561|3147|78647|Q,N
ABUS|337451|241|484356|B,Q,N
ABVC|16510|5200|45113|Q,N
ABVE|20610|0|41906|Q,N
ABVEW|1|1|1890|Q
ABVX|5298|0|7094|Q
AC|25|4|95|Q
ACA|70866|609|259892|B,Q,N
ACAB|251|0|1080|Q
ACAD|242430|1655|634505|B,Q,N
ACB|1303320|108151|2012975|B,Q,N
ACCD|72473|1629|534236|Q,N
ACCO|110340|1964|292628|Q,N
ACDC|364202|9149|805220|B,Q,N
ACEL|17001|23|145031|Q,N
ACES|24113|50|88263|B,Q,N
ACET|94548|0|192254|Q,N
ACGL|362347|1272|934583|B,Q,N
ACGLN|11802|0|22585|B,Q,N
ACGLO|2167|0|6261|Q
ACHC|195314|198|705332|Q,N
ACHL|49522|0|79406|B,Q,N
ACHR|3332005|44062|6327847|B,Q,N
ACHR/WS|1505|0|14014|Q
ACHV|38653|25|83711|Q,N
ACI|411064|11293|2167504|B,Q,N
ACIC|26911|205|107831|Q,N
ACIO|148732|0|176711|Q,N
ACIU|21869|0|38356|Q,N
ACIW|60635|413|361411|Q,N
ACLS|182479|332|289756|B,Q,N
ACLX|173684|870|335065|B,Q,N
ACM|309268|213|517188|B,Q,N
ACMR|306768|2568|627277|B,Q,N
ACN|357688|462|1178139|B,Q,N
ACNB|6808|994|16544|B,Q,N
ACNT|7115|0|38515|B,Q,N
ACON|359255|5|549323|Q,N
ACP|133913|827|372219|B,Q,N
ACR|6550|0|21059|Q,N
ACRE|62148|1330|226456|Q,N
ACRpC|6169|0|14287|Q,N
ACRpD|258|0|533|Q
ACRS|148174|936|321160|B,Q,N
ACRV|5689|0|16447|Q,N
ACSI|1|0|6|Q
ACT|40334|0|160827|Q,N
ACTG|35141|0|142213|B,Q,N
ACTU|20938|0|46971|Q,N
ACTV|1526|261|8686|B,Q
ACU|11819|2737|38711|Q,N
ACV|13293|0|26409|Q
ACVA|511316|0|1255220|Q,N
ACVF|16543|0|17648|Q,N
ACWI|665126|1019|1398890|B,Q,N
ACWV|9825|433|38611|Q,N
ACWX|179479|600|312026|B,Q,N
ACXP|6005|4704|13437|Q,N
ADAG|4675|11|11107|Q,N
ADAP|199577|0|405267|Q,N
ADBE|287405|3098|1000552|B,Q,N
ADC|273885|134|623488|B,Q,N
ADCpA|193|0|6430|Q
ADCT|85709|2009|242647|Q,N
ADD|222068|1123|745314|Q,N
ADEA|87747|251|240571|B,Q,N
ADFI|15014|0|15346|Q
ADGM|5027|0|13200|Q,N
ADI|539630|356|1035396|B,Q,N
ADIL|26977|0|63281|B,Q
ADM|890047|48930|1794494|B,Q,N
ADMA|600182|2946|1520995|B,Q,N
ADME|41388|0|60503|Q
ADN|64049|13099|154195|Q,N
ADNT|499211|38|721710|B,Q,N
ADNWW|7014|1617|41448|Q
ADP|341825|343|916461|B,Q,N
ADPT|131268|1305|298118|Q,N
ADPV|2562|0|4456|Q
ADSE|7090|0|17407|Q,N
ADSEW|2300|0|2300|Q
ADSK|258282|574|775507|B,Q,N
ADT|998223|700|3033835|B,Q,N
ADTN|75052|181|345102|Q,N
ADTX|1073553|177029|1752071|Q,N
ADUS|23971|6603|45863|B,Q,N
ADV|126720|12|234998|Q,N
ADVE|1|0|2051|Q
ADVM|12660|187|58732|Q,N
ADX|65263|0|172243|Q,N
ADXN|21698|61|67517|Q,N
AE|274|0|908|Q
AEE|321482|959|554993|B,Q,N
AEF|15414|0|105514|Q
AEFC|2515|0|19931|Q,N
AEG|1800740|717|3523314|B,Q,N
