Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
A|302693|46|886776|B,Q,N
AA|423060|755|1533973|B,Q,N
AAA|668|0|5982|Q,N
AAAU|251327|8652|751093|B,Q,N
AACG|31627|1263|45493|B,Q,N
AACT|529|0|97522|Q
AACT/WS|2100|0|3900|Q
AADI|7715|0|50752|B,Q
AADR|32|0|38|Q
AAL|4718431|54456|10107784|B,Q,N
AAM|701|0|182278|Q
AAME|2938|0|3152|B,Q
AAOI|2479539|15547|7954155|B,Q,N
AAON|119068|241|244653|B,Q,N
AAP|916484|1424|1352832|B,Q,N
AAPB|5326|459|19744|Q,N
AAPD|45935|0|77812|B,Q,N
AAPL|5605436|30526|13476791|B,Q,N
AAPR|1800|0|12513|Q
AAPU|72531|3161|213029|B,Q,N
AAPX|770|0|5903|Q,N
AAPY|335|0|738|Q,N
AAT|21249|0|65009|B,Q,N
AAXJ|110606|47|158813|Q,N
AB|24880|201|213446|B,Q,N
ABAT|145422|7301|208154|Q,N
ABBV|198500|168|1326959|B,Q,N
ABCB|46660|0|106555|Q,N
ABCL|744548|359|1295093|Q,N
ABCS|601|0|1102|Q
ABEO|28048|32|79099|Q,N
ABEQ|53|0|1903|Q,N
ABEV|10283873|15156|14900317|B,Q,N
ABG|31707|16|44740|Q,N
ABL|12323|0|17504|B,Q,N
ABLLL|30|0|34|Q
ABLLW|5115|0|8615|Q
ABLV|4657|500|13918|Q
ABM|31821|0|60083|B,Q,N
ABNB|5417582|12216|8869845|B,Q,N
ABNY|9903|0|13222|B,Q,N
ABOS|31949|0|58430|B,Q,N
ABR|755701|5498|1222543|B,Q,N
ABRpD|435|0|2431|Q
ABRpE|615|0|1815|Q
ABRpF|654|0|8498|B,Q
ABSI|229256|254|328520|Q,N
ABT|785831|886|1803655|B,Q,N
ABTS|4223|0|14014|Q,N
ABUS|123316|0|274835|Q,N
ABVC|2828|0|18581|Q,N
ABVE|1921|13|18509|Q,N
ABVX|4332|0|5948|Q
AC|29|0|1633|Q
ACA|25764|0|43872|B,Q,N
ACAB|1562|0|3860|Q
ACAD|118740|164|447696|B,Q,N
ACB|597905|11594|960070|B,Q,N
ACCD|136090|0|363664|Q,N
ACCO|70403|0|197265|Q,N
ACDC|97151|0|150620|Q,N
ACEL|9836|0|112224|Q,N
ACES|49958|37|98825|Q,N
ACET|124423|4164|247980|B,Q,N
ACGL|334093|535|583615|B,Q,N
ACGLN|2767|0|8269|Q
ACGLO|6203|0|10552|Q
ACHC|161945|76|399844|B,Q,N
ACHL|7945|0|19364|Q,N
ACHR|9579686|320679|21948341|B,Q,N
ACHR/WS|33098|0|118454|Q,N
ACHV|50494|7842|159794|B,Q,N
ACI|294059|49|911122|B,Q,N
