Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
A|236313|17|405445|B,Q,N
AA|974766|1951|2085999|B,Q,N
AAA|3646|0|5731|Q
AAAU|366348|0|994298|B,Q,N
AACG|7401|30|17476|Q,N
AACT|403|0|30838|Q
AADI|1505|705|16088|Q,N
AADR|10|0|80|Q
AAL|3750167|101276|9002683|B,Q,N
AAM|51306|0|155429|Q
AAME|607|21|1114|Q,N
AAOI|340710|5753|808728|B,Q,N
AAON|47528|53|194094|B,Q,N
AAP|429976|1824|631127|B,Q,N
AAPB|1762|0|8778|B,Q,N
AAPD|32019|504|145130|Q,N
AAPL|3402689|32499|9732412|B,Q,N
AAPR|2200|0|4393|Q
AAPU|42074|1275|168760|B,Q,N
AAPX|291|0|758|B,Q
AAPY|112|0|489|Q
AAT|20849|0|40422|B,Q,N
AAXJ|163934|0|209573|Q,N
AB|37062|92|87546|B,Q,N
ABAT|82484|638|192905|B,Q,N
ABBV|366513|395|1764567|B,Q,N
ABCB|34846|0|99090|Q,N
ABCL|1102414|96891|2041516|B,Q,N
ABCS|201|0|902|Q
ABEO|20767|0|109000|Q,N
ABEQ|7666|0|7667|N
ABEV|3113347|2989|6427112|B,Q,N
ABG|35186|0|48838|Q,N
ABL|7142|0|16254|Q,N
ABLLL|41|0|41|Q
ABLLW|574|0|5586|Q
ABLV|1165|49|2123|Q,N
ABM|54697|0|135789|B,Q,N
ABNB|1393221|515|2698617|B,Q,N
ABNY|1519|0|2345|B,Q,N
ABOS|19728|50|49955|Q,N
ABR|462443|1722|688740|B,Q,N
ABRpD|1089|0|7494|Q,N
ABRpE|139|0|264|Q
ABRpF|1539|0|7873|Q
ABSI|139633|1864|249045|B,Q,N
ABT|533262|702|1719574|B,Q,N
ABTS|245|0|14800|Q,N
ABUS|122797|500|221910|B,Q,N
ABVC|80197|1054|148182|Q,N
ABVE|7070|0|54356|Q
ABVEW|9869|6679|16157|Q
ABVX|2250|0|3836|Q,N
AC|418|0|887|Q,N
ACA|38464|18|71225|B,Q,N
ACAB|24|0|224|Q
ACAD|176070|3715|780685|B,Q,N
ACB|401001|2079|653831|B,Q,N
ACCD|88758|300|443404|B,Q,N
ACCO|161813|3854|403619|B,Q,N
ACDC|424761|5504|584683|B,Q,N
ACEL|22942|4644|97305|Q,N
ACES|716|0|6621|Q,N
ACET|94890|1898|218254|Q,N
ACGL|211339|0|801070|B,Q,N
ACGLN|10443|0|54725|B,Q,N
ACGLO|3986|0|14692|Q,N
ACHC|104068|103|454565|B,Q,N
ACHL|36571|0|67998|Q,N
ACHR|2370593|31395|4628314|B,Q,N
ACHR/WS|20980|0|43292|Q
ACHV|9308|0|15950|Q,N
ACI|369326|0|1032367|B,Q,N
ACIC|11414|0|49136|B,Q,N
ACIO|134345|300|175880|Q
ACIU|29620|624|68450|B,Q,N
ACIW|50773|10|130754|B,Q,N
ACLS|137206|3|217622|B,Q,N
ACLX|851106|2904|1103208|B,Q,N
ACM|81974|0|154038|B,Q,N
ACMR|352530|179|622197|B,Q,N
ACN|177764|553|551995|B,Q,N
ACNB|2055|0|2696|Q
ACNT|4095|0|14898|B,Q
ACON|27549|0|67399|Q,N
ACP|46257|0|263724|Q,N
ACR|4665|324|9621|Q
ACRE|54652|3990|195334|Q,N
ACRpC|3500|0|8618|Q
ACRpD|2839|0|3276|Q
ACRS|210302|2449|763848|B,Q,N
ACRV|4386|0|9956|B,Q,N
